# To Value|From Value
CHR|DC
NTR|DO
GST|GI
FEM|LC
NUR|NP
OPT|OD
RHB|OT
NUR|PA
RHB|PT
NUT|RD
NUR|RN
PHR|RX
CRD|CARDIOGRAPHY
PHR|ACP
SRG|ASC
UNK|BMA
UNK|BMC
UNK|BMH
NUR|BSN
SOC|BSW
UNK|CAC
NUR|CCC
DBT|CDE
NUR|CNA
FEM|CNM
NUR|CNM
PSY|CNS
DNT|DDS
DNT|DMD
POD|DPM
ENT|EAR
CRD|ECG
CRD|EEG
CRD|EKG
EMR|EMC
EMR|EMS
EMR|EMT
ENT|ENT
OPT|EYE
NUR|FNP
PSY|LPC
NUR|LPN
PSY|LPT
FAM|MFT
IMG|MRI
NUR|MSN
RHB|MST
SOC|MSW
RHB|OTR
NUR|PNP
PED|PNP
NUR|RNC
NUR|RNP
ORT|CRANIOMANDIBULAR
CRD|PULMONOLOGIST
IMG|RADIATION
NTR|THERAPY
RHB|THERAPY
ENT|AUDIOLOGY
OPT|OPTOMETRICS
OPT|OPTOMETRIST
PSY|ENURESIS
GYN|REPRODUCTION
GYN|REPRODUCTIVE
CRD|ARTHROPLASTY
DNT|PEDODONTICS
PHR|PHARMACISTS
DRM|DERMPATH
DNT|TEETH
GYN|UROGYNECOLOGY
URL|UROGYNECOLOGY
PSY|PSYCHOTHERAPIST
SRG|SURGEON
SRG|SURGERY
PTH|PATHOLOGY
GRP|GROUP
FEM|PREGNANCY
DRM|FOLLICULAR
RHB|BIOTHERAPICS
NCF|CARECENTER
INT|VIROLOGY
PED|PERINATOLOGY
LBR|BIOCHEMICAL
PSY|PHYSIATRISTS
URL|VASECTOMY
INT|FIBROSIS
SPC|AUDIOLOGICAL
ENT|AUDIOLOGISTS
DNT|ORTHODONTISTS
OPT|OPHTHALMOLOGIST
ORT|FRACTURE
INT|INTERNISTS
PTH|CYTOGENETICS
EMR|PARAMEDIC
NRL|PARALYSIS
NRL|PARALYZED
ORT|PARALYZED
HEM|HEMONTOLOGY
ENT|OTORHINOLARYNGOLOGIC
CRD|HEART
HEM|HEMAT
ANS|ANESTHESIOLOGIST
GYN|GYNECOLOGICAL
GYN|GYNECOLOGISTS
PTH|HISTOPATHOLOGY
NUT|DIETICIANS
DNT|TOOTH
NUT|NUTRITION
PRS|PROSTHODONTIC
GST|GASTROENTEROLOGY
PED|PEDIATRICIANS
DBT|ENDOCRINE
FEM|HORMONE
DBT|ENDOCRINOLOGY
URL|IMPOTENCE
URL|IMPOTENCY
FEM|MAMMOGRAPHIC
IMG|MAMMOGRAPHIC
ENT|AUDIOMETRICS
CRD|CARDIOGRAPHIC
GYN|UROGYNECOLOGISTS
URL|UROGYNECOLOGISTS
IMG|RADIOLOGY
SPC|STUTTERING
ENT|OTOLARYNGOLOGICAL
ENT|OTOLARYNGOLOGISTS
INT|INTERNIST
PSY|BULIMIA
PSY|DYSLEXIA
GST|GASTROLOGIST
ONC|TUMOR
PED|EMBRYOLOGY
PSY|PHOBIAS
OPT|EYEGLASSES
CRD|CARDIOLOGICAL
CRD|CARDIOLOGISTS
ONC|SARCOMA
DNT|PEDIODONTICS
DNT|PEDORTHICS
NTR|HOMEOPATHIC
ORT|ORTHOPEDIATRIC
PED|ORTHOPEDIATRIC
PRS|PROSTHETICS
PRS|PROSTHETIST
FEM|WOMENCARE
DRM|CUTANEOUS
ENT|OTOPARYNCOLOGY
ONC|LYMPHOMA
GER|GERONTOLOGY
PTH|CYTOPATHOLOGY
OPT|OCULISTS
NRL|NEURORADIONICS
NRL|NEUROLOGY
EMR|IMMEDIATE
HMC|CLINIC
IMG|SONOGRAM
OPT|OPHTHALMOLOGIC
CRD|ENDOCARDIOLOGY
DBT|ENDOCARDIOLOGY
HEM|HEMONCOLOGY
ANS|ANESTHESIOLOGY
DBT|ENDOCRINOLOGIST
NRL|SYNAPTIC
NRL|NEUROPATH
NTR|HYPNOSIS
CRD|ECHOCARDIOGRAPHY
FEM|WOMENKIND
OPT|EYELID
OPT|EYEXAM
DRM|PSORIASIS
NRL|REFLEXOLOGY
ORT|KINESIOLOGY
HEM|ANTICOAGULATION
ONC|ONCOTHERAPEUTIC
DRM|DERMATOPATHOLOGIST
PTH|DERMATOPATHOLOGIST
ORT|KINESIOLOGICAL
ORT|KINESIOLOGISTS
GYN|OBSTETRICIAN
NRL|CRANIAL
GYN|OBSTETRICIANS
RHB|RADIOTHERAPY
ORT|RHEUMATOLOGICAL
ORT|RHEUMATOLOGISTS
ORT|RHEUMATOLOGICA
ORT|RHEUMATOLOGIST
CRD|ELECTRODIAGNOSTIC
INT|IMMUNOBIONICS
CHR|CHIRORADIOLOGY
HOM|HOSPICES
HMC|HOSPITAL
NRL|NEUROCOGNITIVE
HEM|HEMODYNAMICS
ONC|ONCOGENETICS
ORT|RHEUMATOLOISTS
ENT|OTOLARYNGOLOGY
HOM|HOSPICE
ORT|KINESIOLGISTS
LBR|LABORATORY
ORT|KINESOLOGICAL
URL|URINARY
INT|HYPERTHERMIA
INT|INFECTION
GNT|DIAGENETICS
FEM|CHILDBIRTH
GYN|CHILDBIRTH
CRD|CARDIOVASCULAR
IMG|IMAGE
ENT|OTOLOGY
OPT|OPTOMETRISTS
GER|GERIATRIC
DNT|DENTIST
DNT|DENTURE
CHR|CHIROPRACTIC
CHR|CHIROPRACTOR
GST|HEPATITIS
OPT|EYESIGHT
GST|GASTROLOGY
DRM|DERMAPATHOLOGY
PTH|DERMAPATHOLOGY
HEM|IMMUNE
HEM|HEMATOLOGICS
HEM|HEMATOLOGIST
ENT|PALATE
GST|INTESTINE
FEM|LACTATION
NTR|OSTEOPATHY
INT|INFECTIONS
INT|INFECTIOUS
POD|FACFAS
DRM|FACIAL
DNT|PERIODONTICS
DNT|PERIODONTIST
EMR|AMBULANCE
OPT|RETINOVITREOUS
RHB|SPORTOPEDICS
ALG|ALLERGY
PSY|PSYCHOGRAPHICS
PED|CHILDREN
IMG|SCANNERS
IMG|SCANNING
OPT|EYECENTER
PSY|PSYCHIATRY
PED|PEDIATRIC
IMG|RADIOGRAPHY
HEM|IMMUNOLOGY
CHR|CHIROPLUS
CRD|BRONCHITIS
PSY|ANOREXIA
PSY|BEHAVIOR
OPT|EYECARE
DNT|DENTISTRY
RHB|ATHLETIC
CRD|HEARTRONICS
PSY|BEHAVIORAL
URL|BLADDER
NRL|NEURODIAGNOSTICS
INT|PARASITOLOGY
PSY|ADDICTIONS
PSY|RETARDATION
CRD|COMPUCARDIOLOGY
SPC|VOCAL
HMC|HOSPITALIZATION
OPT|EYEGLASS
NTR|NATURE
NUT|DIETETIC
FAM|FAMILY
PED|INFANT
GST|HEPATOLOGISTS
