# To Value|From Value
CIE|CO
CO|CO
COMP|CO
COMPAGNIE|CO
COMPANY|CO
DOCTOR|DR
HEADQUARTER|HQ
ONT|ON
ONTARIO|ON
QB|QC
QE|QC
QU|QC
QUE|QC
ADMIN|ADM
ET|AND
BUSINESS|BIZ
CA|CAN
CAN|CAN
CANADA|CAN
CDA|CAN
DEVELOPMENT|DEV
ENTERPRISES|ENT
ESQUIRE|ESQ
EXTENSION|EXT
FEDERAL|FED
GOVERNMENT|GOV
IN|INC
INC|INC
INCORPORATION|INC
LIMITED|LTD
LTD|LTD
LTE|LTD
LTEE|LTD
MARKET|MKT
OFFICES|OFC
QC|QUE
QUEBEC|QUE
RUGS|RUG
SERVICES|SVC
SYSTEMS|SYS
THREAD|THREADS
TECHNOLOGY|TECHNOLO
GIRL|GIRLS
SERVICES|SRVCS
ADJUST|ADJUSTERS
ADJUST|ADJUSTING
TAX|TAXES
MANAGEMENT|MANAGEMEN
SUPPLIES|SUPPL
OPTOMETRY|OPTOMETRIST
INVESTOR|INVESTORS
COVERINGS|COVERING
ABSOLUTE|ABSOLUTELY
CLEANERS|CLEANING
DYNAMICS|DYNAMIC
PLASTICS|PLASTIC
RESTAURANT|RESTURANT
SYSTEMS|SYSTE
COLLECTION|COLLECTIONS
FINANCIAL|FINANCIALS
TELECOMMUNICATION|TELECOMMUNICATIONS
WORKERS|WORKFORCE
DEVELOPMENT|DEVELOPMENTS
ALTERNATIVE|ALTERNATIVES
WHOLESALERS|WHOLESALE
INSTITUTE|INSTITUTIONAL
MANAGEMENT|MANAGMENT
COMMODITY|COMMODITIES
COMPONENTS|COMPONENT
INSIGHTS|INSIGHT
INTEREST|INTERESTS
CHEMICAL|CHEMICALS
TRANSPORTATION|TRANSPORT
EXECUTIVES|EXECUTIVE
BROADCASTING|BROADCAST
TRADITIONAL|TRADITIONS
COMPANY|COMAPNY
PROGRAMS|PROGRAM
APARTMENT|APARTMENTS
ACCOUNT|ACCOUNTS
CELLAR|CELLARS
TRADERS|TRADE
REPORT|REPORTERS
REPORT|REPORTING
EQUITY|EQUITIES
PROJECTS|PROJECT
WOODWORK|WOODWORKING
CONSTRUCTION|CONSTUCTION
SURVEY|SURVEYS
PROFESSIONAL|PROFESSIONALS
ACOUSTIC|ACOUSTICS
SCREENING|SCREENS
ASSISTANCE|ASSISTANT
TWIN|TWINS
EXPERTS|EXPERT
EXPORTS|EXPORT
ARCHITECT|ARCHITECTS
ARCHITECT|ARCHITEC
COACH|COACHES
ELECTRICAL|ELECTRIC
EXTERIORS|EXTERIOR
INNOVATIVE|INOVATIVE
CONTRACTING|CONTRACTO
MACHINERY|MACHINES
IDEA|IDEAS
FIXTURE|FIXTURES
SYSTEMS|SYSTEM
UNLIMITED|UNLTD
REGION|REGIONAL
RECREATION|RECREATIONAL
INSTALLATIONS|INSTALLERS
ARTISAN|ARTISANS
BROKERS|BROKERAGE
SUPPLIES|SUPPLIERS
TRUCKING|TRUCKIN
FLOORS|FLOORCOVERING
SNACK|SNACKS
BUSINESS|BUISNESS
REALTY|REALESTATE
CONSTRUCTION|CONSTRUC
GARDEN|GARDENS
COATINGS|COATING
CONSULTING|CONSULTA
CONSULTING|CONSULTI
FOOTHILL|FOOTHILLS
CHANGE|CHANGES
GALLERY|GALLERIES
LOCKSMITH|LOCKSMITHS
VIDEOS|VIDEO
FABRICATIONS|FABRICATING
FABRICATIONS|FABRICATION
FABRICATIONS|FABRICATORS
EDUCATION|EDUCATIONAL
CABIN|CABINS
CHILDRENS|CHILDREN
FASTENER|FASTENERS
ACCOUNTING|ACCOUNTANCY
ACCOUNTING|ACCOUNTANTS
PHYSICIANS|PHYSICIAN
SISTER|SISTERS
DENTIST|DENTISTRY
PROCESS|PROCESSING
DECOR|DECORATING
DECOR|DECORATIVE
DECOR|DECORATORS
CONSULTING|CONSULT
MISSION|MISSIONS
BAGEL|BAGELS
INCORPORATION|INCORP
CONGREGATION|CONGREGATIONAL
CONTRACTING|CONTRAC
GAME|GAMING
CONSTRUCTION|CONSTRUCTIONS
REMODEL|REMODELERS
REMODEL|REMODELING
MINISTRY|MINISTRIES
CONSTRUCTION|CONSTRUCTI
BAKERY|BAKERS
DISTRIBUTION|DISTRIBUTOR
ENTERPRISES|INTERPRISE
ENVIRONMENT|ENVIRONMENTAL
ACCOUNT|ACCT
AGENCY|AGCY
AGENCY|AGEN
ASSOCIATES|ASSC
ASSOCIATION|ASSN
ASSOCIATES|ASSO
AUTHORITY|AUTH
TOUR|TOURISM
CONTRACTING|CONTRACT
CONTROL|CONTROLS
BICYCLE|BIKE
BUILDING|BLDG
BOULEVARD|BLVD
BROTHERS|BROS
DOCTOR|DOCTORS
CPA|CPAS
EQUIPMENT|EQUIPTMENT
DEPARTMENT|DEPT
DESIGN|DESI
DOG|DOGS
DRUGS|DRUG
AMUSEMENT|AMUSEMENTS
ECONOMICS|ECON
ELECTRICAL|ELEC
BOOKKEEPING|BOOKKEEPER
RESTAURANT|EATERY
FLAGS|FLAG
FOODS|FOOD
COOKIE|COOKIES
GOD|GODS
GOVERNMENT|GOVT
CABINETS|CABINET
WHEELS|WHEEL
BASIC|BASICS
HEALTH|HLTH
CORPORATION|CORPORATIO
INFORMATION|INFO
INTERNATIONAL|INTL
CATERING|CATERERS
EFFECT|EFFECTIVE
GRIND|GRINDING
WOMENS|WOMANS
PREMIERE|PREMIER
CHOICE|CHOICES
INNOVATION|INNOVATIONS
GEST|MGMT
GESTION|MGMT
MANAGEMENT|MGMT
MARKETING|MKTG
MANAGEMENT|MNGT
RESOURCES|RESOURC
CARRIER|CARRIERS
JEWELERS|JEWELRY
ENVIRONMENT|ENVIROMENTAL
FURNISHING|FURNISHINGS
NATIONAL|NATL
LABORATORY|LABORATORIES
MANAGEMENT|MANAGEM
OFFICES|OFCS
FARMING|FARMERS
ESSENTIAL|ESSENTIALS
PRODUCE|PROD
PROMOTION|PROMOTIONS
DEVELOPMENT|DEVELOPMENTAL
CLOSET|CLOSETS
RENTALS|RENT
PUBLISHING|PUBLISHERS
ENVIRONMENT|ENVIRO
SERVICES|SRVC
SERVICES|SRVS
SERVICES|SVCS
SYSTEMS|SYST
CONSULTING|CONSULTANCY
CONSULTING|CONSULTANTS
TECHNOLOGY|TECH
JEWELERS|JEWLERS
AWNING|AWNINGS
USERS|USER
ATTORNEY|ATTORNEYS
OPPORTUNITIES|OPPORTUNITY
AUTOMATIC|AUTOMATED
AUTOMATIC|AUTOMATIC
TRANSMISSIONS|TRANSMISSION
PRODUCTION|PRODUCTIONS
WIZARD|WIZARDS
BOOKKEEPING|BOOKEEPING
BANKER|BANKERS
SOURCE|SOURCES
SOUND|SOUNDS
DIMENSION|DIMENSIONS
PRESENTATION|PRESENTATIONS
COPIER|COPIERS
DOG|DOGGIE
DEVELOPMENT|DEVELOPM
YOURS|YOUR
TECHNOLOGY|TECHNOLOGIE
RESTAURANT|RESTAURANTS
MOTOR|MOTORS
CONSTRUCTION|CONSTRUCT
BALANCE|BALANCING
MOVE|MOVERS
MOVE|MOVING
COLOR|COLORS
SPIRIT|SPIRITS
ADMIN|ADMINISTRATION
ADMIN|ADMINISTRATIVE
ADMIN|ADMINISTRATORS
DISTRIBUTION|DISTRIBUTERS
DISTRIBUTION|DISTRIBUTING
DISTRIBUTION|DISTRIBUTORS
COMPANY|COMPAN
DONUT|DONUTS
EXCAVATION|EXCAVATING
HEALTH|HEALTHCARE
CONSTRUCTION|CONSTR
CONSULTING|CONSUL
CONTRACTING|CONTRA
STRATEGY|STRATEGIES
EFFECT|EFFECTS
HOTEL|HOTELS
ENGINEERS|ENGINEER
TROPHY|TROPHIES
NETWORKING|NETWORKS
HOUSING|HOUSES
INTERNATIONAL|INTERNATION
EXPRESS|XPRESS
TROPIC|TROPICAL
PHARMACEUTICAL|PHARMACEUTICALS
CORPORATION|CORPOR
PUBLICATION|PUBLICATIONS
PACKAGE|PACKAGING
ORIGINALS|ORIGINAL
DIMENSION|DIMENSIONAL
ACCOUNTING|ACCOUNTANT
ATHLETIC|ATHLETICS
SAIL|SAILING
COVERINGS|COVERS
GENERATION|GENERATIONS
CONSULTING|CONSULTAN
CONSULTING|CONSULTIN
CIRCUIT|CIRCUITS
CONSUMER|CONSUMERS
DEVELOPMENT|DEVELOPEMENT
HARDWOOD|HARDWOODS
REALTY|REALTORS
PHOTOGRAPHERS|PHOTOGRAPHER
PHOTOGRAPHICS|PHOTOGRAPHIC
MAINTENANCE|MAINTANCE
PARTNERS|PARTNER
LANDSCAPE|LSCAPES
CLEANERS|CLEANER
BENEFIT|BENEFITS
MAINTENANCE|MAINT
BUSINESS|BUSSINESS
MAINTENANCE|MAINTENCE
MACHINERY|MACHINE
UNIFORM|UNIFORMS
INVESTMENTS|INVESTMENT
TECHNOLOGY|TECHNO
FINISHES|FINISHING
COMMUNITY|COMMUNITIES
SURVEYORS|SURVEYING
PRINTER|PRINTING
ORTHOPAEDIC|ORTHOPEDICS
CONSTRUCTION|CONSTRUCTIO
ACCOUNTING|ACCTG
FLOORS|FLOORING
CELEBRATION|CELEBRATIONS
INTERNATIONAL|INTERNATIONA
ASSOCIATES|ASSOCIAT
ORGANICS|ORGANIC
CEILING|CEILINGS
TELECOMMUNICATION|TELCOM
TRADERS|TRADES
QUILT|QUILTING
TRANSLATION|TRANSLATIONS
CREATIONS|CREATION
CLASSIC|CLASSICS
AGENCY|AGENC
HYDRAULIC|HYDRAULICS
RENTALS|RENTAL
MANAGEMENT|MANAGEME
MANAGER|MANAGERS
ACCENT|ACCENTS
ANTIQUE|ANTIQUES
LANDSCAPE|LSCAPING
TELECOMMUNICATION|TELECOM
ARCHITECT|ARCHITECTURE
REPAIRS|REPAIR
BALANCE|BALANCED
SERVICES|SERVIC
NURSES|NURSING
RESORTS|RESORT
CORPORATION|CORPORA
COLLECTIBLES|COLLECTABLES
DESIGN|DESIGNS
EMPLOYEE|EMPLOYEES
EMPLOYER|EMPLOYERS
OUTDOORS|OUTDOOR
SPECIALIST|SPECIALISTS
SEW|SEWING
CONNECTIONS|CONNECTION
PRIVATE|PRIVAT
TECHNOLOGY|TECHNOLOGIES
CAREER|CAREERS
CONSTRUCTION|CONSTRUTION
TECHNOLOGY|TECHNOLOG
CABINETS|CABINETRY
AGENCY|AGENCIES
ASSOCIATES|ASSOC
COMPUTER|COMPUTERS
ANALYSIS|ANALYTICAL
BILLIARD|BILLIARDS
DENTIST|DENTAL
TEACHER|TEACHERS
TRADERS|TRADING
OFFICES|OFFICE
BUILDER|BUILDERS
OPTOMETRY|OPTOMETRIC
FINANCIAL|FINACIAL
CONSTRUCTION|CONSTRUCTORS
OPTICIANS|OPTICAL
OPTION|OPTIONS
DETAIL|DETAILS
APPLIANCE|APPLIANCES
CERAMIC|CERAMICS
SPECIALTY|SPECIALTIES
COMMUNICATIONS|COMUNICATIONS
BEVERAGE|BEVERAGES
CARPET|CARPETS
MORTGAGE|MORGAGE
RESOURCES|RESOURCE
DEVELOPMENT|DEVELO
PLUMBERS|PLUMING
BUILDER|BLDRS
AQUATIC|AQUATICS
CORPORATION|CORPORATE
CORPORATION|CORPORATI
COSMETICS|COSMETIC
BOAT|BOATS
LANDSCAPE|LSCAPE
ANSWER|ANSWERING
WRECKING|WRECKER
FINANCIAL|FINANCIA
DESIGN|DESIGNERS
DESIGN|DESIGNING
SOLUTIONS|SOLUTIO
MAINTENANCE|MAINTENA
ORTHOPAEDIC|ORTHOPEDIC
CALIFORNIA|CALIF
CARD|CARDS
WALLCOVERING|WALLPAPERING
PRODUCT|PRODUCTS
MASONRY|MASONARY
MORTGAGE|MORTAGE
PROFESSIONAL|PROFFESIONAL
ENHANCE|ENHANCEMENT
GALLERY|GALLERIA
OPERATION|OPERATIONS
BYTE|BYTES
THERAPY|THERAPIES
DESIGN|DESIGNED
DESIGN|DESIGNER
SOLUTIONS|SOLUTION
TELECOMMUNICATION|TELECOMM
CHIP|CHIPS
CHIROPRATIC|CHIRO
HORIZON|HORIZONS
GARDEN|GARDENING
APPLICATION|APPLICATIONS
MILLENNIUM|MILLENIUM
ORTHODONTIC|ORTHO
INDEPENDENT|INDEPENDANT
PROVIDER|PROVIDERS
RECRUITING|RECRUITERS
EMPLOYEE|EMPLOYED
CLAIMS|CLAIM
PAPERS|PAPER
DELIGHT|DELIGHTS
OWNERS|OWNER
COMPANY|COMPA
CONSTRUCTION|CONST
CONSULTING|CONSU
CONTRACTING|CONTR
CORPORATION|CORPS
WOODWORK|WOODWORKS
ENTERPRISES|INTERPRISES
AGENCY|AGENTS
ENGINEERING|ENGINEERIN
EXTREME|XTREME
ARCHITECT|ARCHITECTURAL
RESTAURANT|RISTORANTE
PRODUCTION|PRODUCERS
ASSOCIATES|ASSOICATES
ALTERNATIVE|ALTERNATE
CONTRACTING|CONTRACTOR
BOOSTER|BOOSTERS
BICYCLE|BICYCLES
DETAIL|DETAILING
SEAFOODS|SEAFOOD
ASSET|ASSETS
ASSISTANCE|ASSIST
ASSOCIATES|ASSOCI
ASSOCIATES|ASSOCS
CULTURE|CULTURAL
CRUISE|CRUISES
DESIGN|DESIG
ENHANCE|ENHANCED
ORTHODONTIC|ORTHODONTICS
CYCLES|CYCLE
PARTNERS|PARTNERSHIP
BASKET|BASKETS
STUDIOS|STUDIO
APPRAISAL|APPRAISALS
APPRAISAL|APPRAISERS
THERAPEUTIC|THERAPEUTICS
CONSULTING|CONSULTANT
CONSULTING|CONSULTING
ADVANCE|ADVANCED
PEDIATRIC|PEDIATRICS
SHOP|SHOPPE
DISTRIBUTION|DISTR
DIRECTION|DIRECTIONS
PRINTS|PRINT
PORTRAIT|PORTRAITS
BOTANICAL|BOTANICALS
SKATE|SKATING
OUTSOURCE|OUTSOURCING
DEVELOPMENT|DEVELOP
PHOTOGRAPHY|PHOTOS
PROFESSIONAL|PROFESIONAL
COUNSELING|COUNSEL
NETWORKING|NETWORK
ASSOCIATES|ASSOCIA
SPECIALTY|SPECIALITY
UTILITY|UTILITIES
ENTERPRISES|ENTERPRIZES
DOLL|DOLLS
DOOR|DOORS
NEWS|NEWSPAPERS
DEVELOPMENT|DEVELOPME
QUILT|QUILTS
CARPENTRY|CARPENTERS
ELECTRICAL|ELECTRONIC
DREAMS|DREAM
INCORPORATION|INCORPORATED
GRAPHICS|GRAPHIC
PICTURE|PICTURES
ACOUSTIC|ACOUSTICAL
AFFILIATE|AFFILIATES
TICKET|TICKETS
SUPPLIES|SUPPLY
TECHNOLOGY|TECHNOL
AUCTION|AUCTIONS
ENTERPRISES|ENTERPRISESINC
PLUMBERS|PLUMBING
INDUSTRY|INDUSTRIES
ECONOMICS|ECONO
FURNISHING|FURNITURE
CONTRACTING|CONTRACTORS
COLLECTION|COLLECTORS
INSTRUMENT|INSTRUMENTS
WINDOWS|WINDOW
INSPECTIONS|INSPECTION
COUNSELING|COUNSELORS
INSPECTIONS|INSPECTORS
RESTORATIONS|RESTORATION
CLINIC|CLINICS
TREATMENTS|TREATMENT
WAREHOUSING|WAREHOUSE
FOUNDATIONS|FOUNDATION
VACATION|VACATIONS
GUIDE|GUIDES
ANSWER|ANSWERS
ADJUST|ADJUSTMENT
LEGEND|LEGENDS
ARTISTIC|ARTISTS
IMPORT|IMPORTS
VISIONS|VISION
REALTY|REALTOR
ELECTRICAL|ELECT
TEXTILE|TEXTILES
PLUMBERS|PLUMMING
MANAGEMENT|MANGEMENT
JIMS|JIMMYS
FASHION|FASHIONS
EQUIPMENT|EQUIP
CIGAR|CIGARS
FUND|FUNDING
ANALYSIS|ANALYSTS
ENTERPRISES|ENTERPRIS
MAINTENANCE|MAINTENENCE
TRAVEL|TRAVELERS
TRAVEL|TRAVELING
FARMING|FARMS
CONTROL|CONTROLLED
CUSTOMIZED|CUSTOM
FINISHES|FINISH
LIFESTYLE|LIFESTYLES
CLOTHIER|CLOTHIERS
EVENT|EVENTS
FENCING|FENCE
SPRINKLERS|SPRINKLER
CORPORATION|CORPORAT
ENVIRONMENT|ENVIRONMENTS
ANALYSIS|ANALYTICS
FINANCIAL|FINANCE
BUYER|BUYERS
STRUCTURE|STRUCTURES
NURSERY|NURSERIES
FILM|FILMS
MAINTENANCE|MAINTAINANCE
WALLCOVERING|WALLPAPER
RENOVATION|RENOVATIONS
COMPANY|COMPANIES
THEATER|THEATRE
ORTHOPAEDIC|ORTHOPAEDICS
DIRECTION|DIRECTIONAL
CONDITION|CONDITIO
ENTERPRISES|ENTERPRISE
ENTERPRISES|ENTERPRIZE
DEVELOPMENT|DEVELOPERS
DEVELOPMENT|DEVELOPING
DEVELOPMENT|DEVELOPMEN
MORTGAGE|MORTGAGES
REHAB|REHABILITATION
BUILDING|BUILDINGS
SHOP|SHOPS
HISTORIC|HISTORICAL
NEWS|NEWSPAPER
FUND|FUNDS
