# To Value|From Value
ABBOTT|AB
ADAM|AD
AGGIE|AG
ALAN|AL
ALBERT|AL
ALFRED|AL
ALVIN|AL
DEANNA|DE
DIANA|DI
DIANE|DI
DOLORES|DO
DOROTHY|DO
DIANA|DY
DIANE|DY
EDGAR|ED
EDWARD|ED
EDWIN|ED
EILEEN|EI
ALVIN|EL
ELAINE|EL
ELDRIDGE|EL
ELLEN|EL
ELVIN|EL
EMMETT|EM
ESTHER|ES
EVAN|EV
EVELYN|EV
EVERETT|EV
HYMAN|HY
JOAN|JO
JOANNA|JO
JOLENE|JO
KYLE|KY
LOUIS|LU
LOUISE|LU
LUANN|LU
LUELLA|LU
LYLE|LY
MAURENE|MO
MYRON|MY
OSBORN|OZ
OSWALD|OZ
SIMON|SI
SIGMUND|SY
SYDNEY|SY
TYLER|TY
TYRONE|TY
TYSON|TY
VIOLA|VI
VIOLET|VI
WILLIAM|WM
LORENZO|ZO
ABEL|ABE
ABRAHAM|ABE
ADELINE|ADA
ADRIAN|ADE
AGATHA|AGE
AGATHA|AGI
ALEXANDRA|ALE
ALFRED|ALF
ALPHONSO|ALF
ALICE|ALI
ALISHA|ALI
ALLEGRA|ALI
ALLISON|ALI
ALVIN|ALV
ALICIA|ALY
ALLISON|ALY
AMBER|AMB
AMELIA|AMI
AMY|AMI
AMELIA|AMY
ANASTASIA|ANA
DIANA|ANA
ANDREW|AND
ANGELA|ANG
ANITA|ANN
ANNETTE|ANN
DIANE|ANN
HANNAH|ANN
ANTHONY|ANT
ARABELLA|ARA
ARDEN|ARD
AARON|ARI
ARIADNE|ARI
ARIANE|ARI
ARIEL|ARI
ARNOLD|ARN
ARTHUR|ART
ASHLEY|ASH
AUDREY|AUD
AUSTIN|AUS
EVELYN|AVI
BARBARA|BAB
BARRETT|BAR
BARTHOLOMEW|BAT
BEATRICE|BEA
BERNICE|BEA
BERTHA|BEA
BEATRICE|BEE
BELINDA|BEL
BENEDICT|BEN
BENJAMIN|BEN
BERNARD|BER
ELIZABETH|BET
BEVERLY|BEV
WILLIAM|BIL
BENJAMIN|BIN
ROBERT|BOB
BRIAN|BRI
BRUCE|BRU
BRIAN|BRY
BUDDY|BUD
CEDRIC|CAD
KATHERINE|CAI
CALLIE|CAL
CALVIN|CAL
CAMERON|CAM
CARNEY|CAR
CEDRIC|CED
CECELIA|CEE
CHEYENNE|CHI
CHLOE|CLO
CLYDE|CLY
COLETTE|COE
CONNIE|CON
COSMO|COS
CYNTHIA|CYN
DAKOTA|DAC
DAKOTA|DAK
DALLAS|DAL
DALTON|DAL
DANIEL|DAN
JORDAN|DAN
DARCY|DAR
DARLENE|DAR
DEANNA|DEA
DEANNE|DEA
DEBORAH|DEB
DEIRDRE|DEE
DELORES|DEE
DOLORES|DEE
DELANEY|DEL
DELBERT|DEL
DELLA|DEL
DELORES|DEL
DENNIS|DEN
DESMOND|DES
DEVIN|DEV
DEXTER|DEX
DILLON|DIL
DIXIE|DIX
DOROTHY|DOA
DOROTHY|DOE
DOLLY|DOL
DOMINIC|DOM
DONALD|DON
DORA|DOR
DORIS|DOR
DORIS|DOT
DOROTHY|DOT
DOTTIE|DOT
DOUGLAS|DOU
ANDRE|DRE
ANDREW|DRU
DY|DYE
EDWARD|EDD
EDITH|EDE
EDITH|EDI
EDWARD|EDO
EDWARD|EDW
EDITH|EDY
EDWARD|EDY
EUGENE|EGE
EILEEN|EIL
ADELAIDE|ELA
ELEANOR|ELE
ELLIS|ELI
ELAINE|ELL
EMMA|EMA
EMILY|EMI
EMMA|EMM
EMILY|EMY
ERVINE|ERV
ERWIN|ERV
ETHEL|ETH
EUGENE|EUG
EUGENE|EUI
EVANGELINA|EVA
EVELYN|EVA
EVELYN|EVE
EVELYN|EVI
EVELYN|EVY
FANNY|FAN
FARLEY|FAR
FELIX|FEE
FLORENCE|FLO
GABRIEL|GAB
GABRIELA|GAB
GABRIELLA|GAB
GARRETT|GAR
GARVIN|GAR
GARY|GAR
GAVIN|GAV
GEMMA|GEM
GENA|GEN
GENEEN|GEN
GENEVA|GEN
GENEVIEVE|GEN
GENNA|GEN
GEORGE|GEO
GERALD|GER
JEREMY|GER
GILBERT|GIB
GINA|GIN
GINGER|GIN
GINNY|GIN
GLORIA|GLO
GREGORY|GRE
GUNTHER|GUN
GUSSIE|GUS
GUSTAV|GUS
HADLEY|HAD
HAROLD|HAL
HECTOR|HEC
HELEN|HEL
MATHEW|HEW
HOWARD|HOW
HUMPHREY|HUM
HY|HYE
ISAAC|IKE
ILIANA|ILI
IRENE|IRE
IRENE|IRI
IRVING|IRV
ISABEL|ISA
ISABELLA|ISA
ISAIAH|ISA
LISA|ISA
MARGARET|ITA
ISABELLA|IZA
JOSEPH|J0E
JACOB|JAC
JOHN|JAC
JACOB|JAE
JAMAL|JAM
JANET|JAN
JANICE|JAN
JAMES|JAS
JASPREET|JAS
JASON|JAY
JEFFREY|JEF
JEMIMA|JEM
JEMMA|JEM
JENNA|JEN
JENNIFER|JEN
GERALD|JER
JEREMY|JER
JESSICA|JES
JEZEBEL|JEZ
JACOB|JIM
JAMES|JIM
JINNY|JIN
JOAN|JOA
JOEL|JOE
JOSEPH|JOE
JONATHAN|JON
JORDAN|JOR
JOSE|JOS
JOYCE|JOY
JUAN|JUA
JULIE|JUL
KATHERINE|KAI
KATHLEEN|KAT
KATHERINE|KAY
KATHLEEN|KAY
KENAN|KEN
KENDAL|KEN
KENDALL|KEN
KENDELL|KEN
KENDRICK|KEN
KENNARD|KEN
KENNETH|KEN
KENT|KEN
KEVIN|KEV
KIMBALL|KIM
CHRISTOPHER|KIT
KITTY|KIT
KY|KYE
